participant_id,competence_self,elo_midpoint,watch_frequency_level,watched_before,item_code,item_score,dataset
P001,4,1350,3,No,IntroLayout,5,C
P001,4,1350,3,No,IntroPlayers,3,C
P001,4,1350,3,No,IntroCivs,3,C
P001,4,1350,3,No,IntroEconomy,2,C
P001,4,1350,3,No,EventScouting,2,C
P001,4,1350,3,No,EventUncommon,4,C
P001,4,1350,3,No,BattleDelay,4,C
P001,4,1350,3,No,BattleMilitary,4,C
P001,4,1350,3,No,BattleEcoKills,5,C
P001,4,1350,3,No,BattleBreakIn,4,C
P001,4,1350,3,No,BattleOverwhelm,2,C
P001,4,1350,3,No,StateAgeUp,5,C
P001,4,1350,3,No,StateMilTech,5,C
P001,4,1350,3,No,Predictions,3,C
P001,4,1350,3,No,Knowledge,3,C
P002,5,1350,3,Yes,IntroLayout,5,C
P002,5,1350,3,Yes,IntroPlayers,3,C
P002,5,1350,3,Yes,IntroCivs,5,C
P002,5,1350,3,Yes,IntroEconomy,4,C
P002,5,1350,3,Yes,EventScouting,4,C
P002,5,1350,3,Yes,EventUncommon,2,C
P002,5,1350,3,Yes,BattleDelay,3,C
P002,5,1350,3,Yes,BattleMilitary,4,C
P002,5,1350,3,Yes,BattleEcoKills,4,C
P002,5,1350,3,Yes,BattleBreakIn,3,C
P002,5,1350,3,Yes,BattleOverwhelm,4,C
P002,5,1350,3,Yes,StateAgeUp,4,C
P002,5,1350,3,Yes,StateMilTech,3,C
P002,5,1350,3,Yes,Predictions,4,C
P002,5,1350,3,Yes,Knowledge,4,C
P003,4,900,2,Unsure,IntroLayout,5,C
P003,4,900,2,Unsure,IntroPlayers,4,C
P003,4,900,2,Unsure,IntroCivs,5,C
P003,4,900,2,Unsure,IntroEconomy,5,C
P003,4,900,2,Unsure,EventScouting,5,C
P003,4,900,2,Unsure,EventUncommon,5,C
P003,4,900,2,Unsure,BattleDelay,5,C
P003,4,900,2,Unsure,BattleMilitary,5,C
P003,4,900,2,Unsure,BattleEcoKills,5,C
P003,4,900,2,Unsure,BattleBreakIn,5,C
P003,4,900,2,Unsure,BattleOverwhelm,5,C
P003,4,900,2,Unsure,StateAgeUp,5,C
P003,4,900,2,Unsure,StateMilTech,5,C
P003,4,900,2,Unsure,Predictions,5,C
P003,4,900,2,Unsure,Knowledge,5,C
P004,4,1600,3,No,IntroLayout,4,C
P004,4,1600,3,No,IntroPlayers,2,C
P004,4,1600,3,No,IntroCivs,5,C
P004,4,1600,3,No,IntroEconomy,3,C
P004,4,1600,3,No,EventScouting,4,C
P004,4,1600,3,No,EventUncommon,3,C
P004,4,1600,3,No,BattleDelay,3,C
P004,4,1600,3,No,BattleMilitary,4,C
P004,4,1600,3,No,BattleEcoKills,4,C
P004,4,1600,3,No,BattleBreakIn,4,C
P004,4,1600,3,No,BattleOverwhelm,5,C
P004,4,1600,3,No,StateAgeUp,5,C
P004,4,1600,3,No,StateMilTech,4,C
P004,4,1600,3,No,Predictions,2,C
