participant_id,competence_self,elo_midpoint,watch_frequency_level,watched_before,item_code,item_score,dataset
P001,4,1350,3,No,Understanding,5,G
P001,4,1350,3,No,SummaryOpinion,5,G
P001,4,1350,3,No,PreferFullGames,2,G
P001,4,1350,3,No,LimitedTime,5,G
P001,4,1350,3,No,InterestBattles,5,G
P001,4,1350,3,No,InterestStrategy,5,G
P001,4,1350,3,No,InterestSkill,4,G
P001,4,1350,3,No,TechnicalIssues,2,G
P002,5,1350,3,Yes,Understanding,4,G
P002,5,1350,3,Yes,SummaryOpinion,4,G
P002,5,1350,3,Yes,PreferFullGames,4,G
P002,5,1350,3,Yes,LimitedTime,1,G
P002,5,1350,3,Yes,InterestBattles,3,G
P002,5,1350,3,Yes,InterestStrategy,5,G
P002,5,1350,3,Yes,InterestSkill,3,G
P002,5,1350,3,Yes,TechnicalIssues,1,G
P003,4,900,2,Unsure,Understanding,4,G
P003,4,900,2,Unsure,SummaryOpinion,4,G
P003,4,900,2,Unsure,PreferFullGames,5,G
P003,4,900,2,Unsure,LimitedTime,5,G
P003,4,900,2,Unsure,InterestBattles,3,G
P003,4,900,2,Unsure,InterestStrategy,5,G
P003,4,900,2,Unsure,InterestSkill,3,G
P003,4,900,2,Unsure,TechnicalIssues,5,G
P004,4,1600,3,No,Understanding,5,G
P004,4,1600,3,No,SummaryOpinion,3,G
P004,4,1600,3,No,PreferFullGames,5,G
P004,4,1600,3,No,LimitedTime,3,G
P004,4,1600,3,No,InterestBattles,4,G
P004,4,1600,3,No,InterestStrategy,5,G
P004,4,1600,3,No,InterestSkill,4,G
P004,4,1600,3,No,TechnicalIssues,4,G
P005,3,1350,3,No,Understanding,5,G
P005,3,1350,3,No,SummaryOpinion,4,G
P005,3,1350,3,No,PreferFullGames,4,G
P005,3,1350,3,No,LimitedTime,2,G
P005,3,1350,3,No,InterestBattles,4,G
P005,3,1350,3,No,InterestStrategy,5,G
P005,3,1350,3,No,InterestSkill,4,G
P005,3,1350,3,No,TechnicalIssues,2,G
P006,4,1350,3,Unsure,Understanding,4,G
P006,4,1350,3,Unsure,SummaryOpinion,3,G
P006,4,1350,3,Unsure,PreferFullGames,5,G
P006,4,1350,3,Unsure,LimitedTime,4,G
P006,4,1350,3,Unsure,InterestBattles,3,G
P006,4,1350,3,Unsure,InterestStrategy,5,G
P006,4,1350,3,Unsure,InterestSkill,5,G
P006,4,1350,3,Unsure,TechnicalIssues,5,G
P007,4,1600,3,No,Understanding,5,G
P007,4,1600,3,No,SummaryOpinion,3,G
P007,4,1600,3,No,PreferFullGames,5,G
P007,4,1600,3,No,LimitedTime,4,G
P007,4,1600,3,No,InterestBattles,2,G
P007,4,1600,3,No,InterestStrategy,5,G
P007,4,1600,3,No,InterestSkill,4,G
P007,4,1600,3,No,TechnicalIssues,1,G
P008,4,1100,2,No,Understanding,5,G
P008,4,1100,2,No,SummaryOpinion,4,G
P008,4,1100,2,No,PreferFullGames,4,G
P008,4,1100,2,No,LimitedTime,5,G
P008,4,1100,2,No,InterestBattles,2,G
P008,4,1100,2,No,InterestStrategy,5,G
P008,4,1100,2,No,InterestSkill,4,G
P008,4,1100,2,No,TechnicalIssues,3,G
P009,3,1100,3,Unsure,Understanding,NA,G
P009,3,1100,3,Unsure,SummaryOpinion,1,G
P009,3,1100,3,Unsure,PreferFullGames,4,G
P009,3,1100,3,Unsure,LimitedTime,5,G
P009,3,1100,3,Unsure,InterestBattles,3,G
P009,3,1100,3,Unsure,InterestStrategy,4,G
P009,3,1100,3,Unsure,InterestSkill,4,G
P009,3,1100,3,Unsure,TechnicalIssues,5,G
P010,4,900,2,No,Understanding,5,G
P010,4,900,2,No,SummaryOpinion,3,G
P010,4,900,2,No,PreferFullGames,5,G
P010,4,900,2,No,LimitedTime,5,G
P010,4,900,2,No,InterestBattles,4,G
P010,4,900,2,No,InterestStrategy,5,G
P010,4,900,2,No,InterestSkill,3,G
P010,4,900,2,No,TechnicalIssues,5,G
P011,5,NA,3,No,Understanding,4,G
P011,5,NA,3,No,SummaryOpinion,3,G
P011,5,NA,3,No,PreferFullGames,4,G
P011,5,NA,3,No,LimitedTime,5,G
P011,5,NA,3,No,InterestBattles,4,G
P011,5,NA,3,No,InterestStrategy,5,G
P011,5,NA,3,No,InterestSkill,5,G
P011,5,NA,3,No,TechnicalIssues,1,G
P012,4,NA,2,Yes,Understanding,2,G
P012,4,NA,2,Yes,SummaryOpinion,3,G
P012,4,NA,2,Yes,PreferFullGames,4,G
P012,4,NA,2,Yes,LimitedTime,3,G
P012,4,NA,2,Yes,InterestBattles,3,G
P012,4,NA,2,Yes,InterestStrategy,4,G
P012,4,NA,2,Yes,InterestSkill,4,G
P012,4,NA,2,Yes,TechnicalIssues,5,G
P013,5,1850,3,No,Understanding,4,G
P013,5,1850,3,No,SummaryOpinion,4,G
P013,5,1850,3,No,PreferFullGames,NA,G
P013,5,1850,3,No,LimitedTime,4,G
P013,5,1850,3,No,InterestBattles,1,G
P013,5,1850,3,No,InterestStrategy,5,G
P013,5,1850,3,No,InterestSkill,5,G
P013,5,1850,3,No,TechnicalIssues,1,G
P014,4,1350,2,No,Understanding,5,G
P014,4,1350,2,No,SummaryOpinion,2,G
P014,4,1350,2,No,PreferFullGames,5,G
P014,4,1350,2,No,LimitedTime,5,G
P014,4,1350,2,No,InterestBattles,3,G
P014,4,1350,2,No,InterestStrategy,5,G
P014,4,1350,2,No,InterestSkill,3,G
P014,4,1350,2,No,TechnicalIssues,4,G
P015,4,1350,2,Unsure,Understanding,2,G
P015,4,1350,2,Unsure,SummaryOpinion,4,G
P015,4,1350,2,Unsure,PreferFullGames,5,G
P015,4,1350,2,Unsure,LimitedTime,5,G
P015,4,1350,2,Unsure,InterestBattles,2,G
P015,4,1350,2,Unsure,InterestStrategy,4,G
P015,4,1350,2,Unsure,InterestSkill,2,G
P015,4,1350,2,Unsure,TechnicalIssues,5,G
P016,4,1100,2,No,Understanding,5,G
P016,4,1100,2,No,SummaryOpinion,2,G
P016,4,1100,2,No,PreferFullGames,5,G
P016,4,1100,2,No,LimitedTime,4,G
P016,4,1100,2,No,InterestBattles,3,G
P016,4,1100,2,No,InterestStrategy,4,G
P016,4,1100,2,No,InterestSkill,5,G
P016,4,1100,2,No,TechnicalIssues,4,G
P017,3,NA,2,No,Understanding,5,G
P017,3,NA,2,No,SummaryOpinion,4,G
P017,3,NA,2,No,PreferFullGames,4,G
P017,3,NA,2,No,LimitedTime,2,G
P017,3,NA,2,No,InterestBattles,3,G
P017,3,NA,2,No,InterestStrategy,4,G
P017,3,NA,2,No,InterestSkill,4,G
P017,3,NA,2,No,TechnicalIssues,4,G
P018,5,1350,2,No,Understanding,4,G
P018,5,1350,2,No,SummaryOpinion,3,G
P018,5,1350,2,No,PreferFullGames,4,G
P018,5,1350,2,No,LimitedTime,4,G
P018,5,1350,2,No,InterestBattles,2,G
P018,5,1350,2,No,InterestStrategy,4,G
P018,5,1350,2,No,InterestSkill,4,G
P018,5,1350,2,No,TechnicalIssues,3,G
P019,5,1350,2,No,Understanding,4,G
P019,5,1350,2,No,SummaryOpinion,3,G
P019,5,1350,2,No,PreferFullGames,3,G
P019,5,1350,2,No,LimitedTime,NA,G
P019,5,1350,2,No,InterestBattles,2,G
P019,5,1350,2,No,InterestStrategy,5,G
P019,5,1350,2,No,InterestSkill,3,G
P019,5,1350,2,No,TechnicalIssues,3,G
P020,5,1350,1,No,Understanding,5,G
P020,5,1350,1,No,SummaryOpinion,3,G
P020,5,1350,1,No,PreferFullGames,4,G
P020,5,1350,1,No,LimitedTime,5,G
P020,5,1350,1,No,InterestBattles,2,G
P020,5,1350,1,No,InterestStrategy,5,G
P020,5,1350,1,No,InterestSkill,4,G
P020,5,1350,1,No,TechnicalIssues,3,G
P021,5,1350,3,No,Understanding,5,G
P021,5,1350,3,No,SummaryOpinion,3,G
P021,5,1350,3,No,PreferFullGames,4,G
P021,5,1350,3,No,LimitedTime,3,G
P021,5,1350,3,No,InterestBattles,4,G
P021,5,1350,3,No,InterestStrategy,4,G
P021,5,1350,3,No,InterestSkill,5,G
P021,5,1350,3,No,TechnicalIssues,4,G
P022,4,1100,3,No,Understanding,5,G
P022,4,1100,3,No,SummaryOpinion,4,G
P022,4,1100,3,No,PreferFullGames,5,G
P022,4,1100,3,No,LimitedTime,4,G
P022,4,1100,3,No,InterestBattles,3,G
P022,4,1100,3,No,InterestStrategy,4,G
P022,4,1100,3,No,InterestSkill,4,G
P022,4,1100,3,No,TechnicalIssues,4,G
P023,4,900,2,No,Understanding,4,G
P023,4,900,2,No,SummaryOpinion,2,G
P023,4,900,2,No,PreferFullGames,5,G
P023,4,900,2,No,LimitedTime,3,G
P023,4,900,2,No,InterestBattles,3,G
P023,4,900,2,No,InterestStrategy,5,G
P023,4,900,2,No,InterestSkill,1,G
P023,4,900,2,No,TechnicalIssues,1,G
P024,5,1100,2,No,Understanding,5,G
P024,5,1100,2,No,SummaryOpinion,4,G
P024,5,1100,2,No,PreferFullGames,5,G
P024,5,1100,2,No,LimitedTime,3,G
P024,5,1100,2,No,InterestBattles,4,G
P024,5,1100,2,No,InterestStrategy,4,G
P024,5,1100,2,No,InterestSkill,5,G
P024,5,1100,2,No,TechnicalIssues,3,G
P025,4,1100,2,Unsure,Understanding,1,G
P025,4,1100,2,Unsure,SummaryOpinion,3,G
P025,4,1100,2,Unsure,PreferFullGames,4,G
P025,4,1100,2,Unsure,LimitedTime,2,G
P025,4,1100,2,Unsure,InterestBattles,2,G
P025,4,1100,2,Unsure,InterestStrategy,5,G
P025,4,1100,2,Unsure,InterestSkill,4,G
P025,4,1100,2,Unsure,TechnicalIssues,5,G
P026,5,1600,3,No,Understanding,4,G
P026,5,1600,3,No,SummaryOpinion,4,G
P026,5,1600,3,No,PreferFullGames,2,G
P026,5,1600,3,No,LimitedTime,5,G
P026,5,1600,3,No,InterestBattles,2,G
P026,5,1600,3,No,InterestStrategy,5,G
P026,5,1600,3,No,InterestSkill,3,G
P026,5,1600,3,No,TechnicalIssues,3,G
P027,4,1100,3,No,Understanding,4,G
P027,4,1100,3,No,SummaryOpinion,4,G
P027,4,1100,3,No,PreferFullGames,4,G
P027,4,1100,3,No,LimitedTime,4,G
P027,4,1100,3,No,InterestBattles,2,G
P027,4,1100,3,No,InterestStrategy,4,G
P027,4,1100,3,No,InterestSkill,3,G
P027,4,1100,3,No,TechnicalIssues,5,G
P028,3,NA,3,No,Understanding,4,G
P028,3,NA,3,No,SummaryOpinion,3,G
P028,3,NA,3,No,PreferFullGames,4,G
P028,3,NA,3,No,LimitedTime,4,G
P028,3,NA,3,No,InterestBattles,2,G
P028,3,NA,3,No,InterestStrategy,4,G
P028,3,NA,3,No,InterestSkill,5,G
P028,3,NA,3,No,TechnicalIssues,4,G
P029,3,1350,3,No,Understanding,5,G
P029,3,1350,3,No,SummaryOpinion,2,G
P029,3,1350,3,No,PreferFullGames,5,G
P029,3,1350,3,No,LimitedTime,4,G
P029,3,1350,3,No,InterestBattles,3,G
P029,3,1350,3,No,InterestStrategy,5,G
P029,3,1350,3,No,InterestSkill,4,G
P029,3,1350,3,No,TechnicalIssues,2,G
P030,4,1350,3,No,Understanding,3,G
P030,4,1350,3,No,SummaryOpinion,3,G
P030,4,1350,3,No,PreferFullGames,5,G
P030,4,1350,3,No,LimitedTime,4,G
P030,4,1350,3,No,InterestBattles,2,G
P030,4,1350,3,No,InterestStrategy,4,G
P030,4,1350,3,No,InterestSkill,4,G
P030,4,1350,3,No,TechnicalIssues,5,G
P031,4,1350,3,No,Understanding,4,G
P031,4,1350,3,No,SummaryOpinion,3,G
P031,4,1350,3,No,PreferFullGames,5,G
P031,4,1350,3,No,LimitedTime,2,G
P031,4,1350,3,No,InterestBattles,3,G
P031,4,1350,3,No,InterestStrategy,4,G
P031,4,1350,3,No,InterestSkill,4,G
P031,4,1350,3,No,TechnicalIssues,5,G
P032,4,NA,2,No,Understanding,5,G
P032,4,NA,2,No,SummaryOpinion,5,G
P032,4,NA,2,No,PreferFullGames,4,G
P032,4,NA,2,No,LimitedTime,NA,G
P032,4,NA,2,No,InterestBattles,4,G
P032,4,NA,2,No,InterestStrategy,5,G
P032,4,NA,2,No,InterestSkill,NA,G
P032,4,NA,2,No,TechnicalIssues,3,G
P033,4,1350,3,Unsure,Understanding,4,G
P033,4,1350,3,Unsure,SummaryOpinion,4,G
P033,4,1350,3,Unsure,PreferFullGames,4,G
P033,4,1350,3,Unsure,LimitedTime,5,G
P033,4,1350,3,Unsure,InterestBattles,1,G
P033,4,1350,3,Unsure,InterestStrategy,NA,G
P033,4,1350,3,Unsure,InterestSkill,NA,G
P033,4,1350,3,Unsure,TechnicalIssues,5,G
P034,5,1600,2,No,Understanding,5,G
P034,5,1600,2,No,SummaryOpinion,3,G
P034,5,1600,2,No,PreferFullGames,5,G
P034,5,1600,2,No,LimitedTime,1,G
P034,5,1600,2,No,InterestBattles,2,G
P034,5,1600,2,No,InterestStrategy,5,G
P034,5,1600,2,No,InterestSkill,5,G
P034,5,1600,2,No,TechnicalIssues,4,G
P035,4,1100,2,No,Understanding,5,G
P035,4,1100,2,No,SummaryOpinion,2,G
P035,4,1100,2,No,PreferFullGames,5,G
P035,4,1100,2,No,LimitedTime,4,G
P035,4,1100,2,No,InterestBattles,4,G
P035,4,1100,2,No,InterestStrategy,4,G
P035,4,1100,2,No,InterestSkill,4,G
P035,4,1100,2,No,TechnicalIssues,2,G
P036,5,1350,3,Yes,Understanding,5,G
P036,5,1350,3,Yes,SummaryOpinion,2,G
P036,5,1350,3,Yes,PreferFullGames,4,G
P036,5,1350,3,Yes,LimitedTime,3,G
P036,5,1350,3,Yes,InterestBattles,1,G
P036,5,1350,3,Yes,InterestStrategy,5,G
P036,5,1350,3,Yes,InterestSkill,2,G
P036,5,1350,3,Yes,TechnicalIssues,2,G
P037,4,1100,3,No,Understanding,4,G
P037,4,1100,3,No,SummaryOpinion,4,G
P037,4,1100,3,No,PreferFullGames,3,G
P037,4,1100,3,No,LimitedTime,4,G
P037,4,1100,3,No,InterestBattles,2,G
P037,4,1100,3,No,InterestStrategy,5,G
P037,4,1100,3,No,InterestSkill,4,G
P037,4,1100,3,No,TechnicalIssues,4,G
P038,3,1350,3,Yes,Understanding,4,G
P038,3,1350,3,Yes,SummaryOpinion,2,G
P038,3,1350,3,Yes,PreferFullGames,4,G
P038,3,1350,3,Yes,LimitedTime,2,G
P038,3,1350,3,Yes,InterestBattles,4,G
P038,3,1350,3,Yes,InterestStrategy,4,G
P038,3,1350,3,Yes,InterestSkill,4,G
P038,3,1350,3,Yes,TechnicalIssues,4,G
P039,4,1350,3,No,Understanding,5,G
P039,4,1350,3,No,SummaryOpinion,2,G
P039,4,1350,3,No,PreferFullGames,5,G
P039,4,1350,3,No,LimitedTime,3,G
P039,4,1350,3,No,InterestBattles,2,G
P039,4,1350,3,No,InterestStrategy,4,G
P039,4,1350,3,No,InterestSkill,5,G
P039,4,1350,3,No,TechnicalIssues,4,G
P040,3,1100,2,No,Understanding,5,G
P040,3,1100,2,No,SummaryOpinion,4,G
P040,3,1100,2,No,PreferFullGames,4,G
P040,3,1100,2,No,LimitedTime,4,G
P040,3,1100,2,No,InterestBattles,3,G
P040,3,1100,2,No,InterestStrategy,5,G
P040,3,1100,2,No,InterestSkill,3,G
P040,3,1100,2,No,TechnicalIssues,5,G
P041,4,1350,3,Yes,Understanding,3,G
P041,4,1350,3,Yes,SummaryOpinion,2,G
P041,4,1350,3,Yes,PreferFullGames,5,G
P041,4,1350,3,Yes,LimitedTime,2,G
P041,4,1350,3,Yes,InterestBattles,4,G
P041,4,1350,3,Yes,InterestStrategy,5,G
P041,4,1350,3,Yes,InterestSkill,5,G
P041,4,1350,3,Yes,TechnicalIssues,2,G
P042,4,1600,2,Unsure,Understanding,3,G
P042,4,1600,2,Unsure,SummaryOpinion,5,G
P042,4,1600,2,Unsure,PreferFullGames,2,G
P042,4,1600,2,Unsure,LimitedTime,5,G
P042,4,1600,2,Unsure,InterestBattles,3,G
P042,4,1600,2,Unsure,InterestStrategy,5,G
P042,4,1600,2,Unsure,InterestSkill,4,G
P042,4,1600,2,Unsure,TechnicalIssues,4,G
P043,4,1350,2,Yes,Understanding,2,G
P043,4,1350,2,Yes,SummaryOpinion,1,G
P043,4,1350,2,Yes,PreferFullGames,5,G
P043,4,1350,2,Yes,LimitedTime,3,G
P043,4,1350,2,Yes,InterestBattles,3,G
P043,4,1350,2,Yes,InterestStrategy,5,G
P043,4,1350,2,Yes,InterestSkill,5,G
P043,4,1350,2,Yes,TechnicalIssues,5,G
P044,5,1350,3,No,Understanding,5,G
P044,5,1350,3,No,SummaryOpinion,5,G
P044,5,1350,3,No,PreferFullGames,5,G
P044,5,1350,3,No,LimitedTime,1,G
P044,5,1350,3,No,InterestBattles,4,G
P044,5,1350,3,No,InterestStrategy,5,G
P044,5,1350,3,No,InterestSkill,5,G
P044,5,1350,3,No,TechnicalIssues,5,G
P045,4,1350,3,No,Understanding,4,G
P045,4,1350,3,No,SummaryOpinion,2,G
P045,4,1350,3,No,PreferFullGames,5,G
P045,4,1350,3,No,LimitedTime,3,G
P045,4,1350,3,No,InterestBattles,4,G
P045,4,1350,3,No,InterestStrategy,5,G
P045,4,1350,3,No,InterestSkill,5,G
P045,4,1350,3,No,TechnicalIssues,4,G
P046,4,1100,2,Yes,Understanding,5,G
P046,4,1100,2,Yes,SummaryOpinion,4,G
P046,4,1100,2,Yes,PreferFullGames,5,G
P046,4,1100,2,Yes,LimitedTime,4,G
P046,4,1100,2,Yes,InterestBattles,3,G
P046,4,1100,2,Yes,InterestStrategy,4,G
P046,4,1100,2,Yes,InterestSkill,4,G
P046,4,1100,2,Yes,TechnicalIssues,1,G
P047,3,1100,3,Yes,Understanding,3,G
P047,3,1100,3,Yes,SummaryOpinion,1,G
P047,3,1100,3,Yes,PreferFullGames,5,G
P047,3,1100,3,Yes,LimitedTime,1,G
P047,3,1100,3,Yes,InterestBattles,3,G
P047,3,1100,3,Yes,InterestStrategy,5,G
P047,3,1100,3,Yes,InterestSkill,5,G
P047,3,1100,3,Yes,TechnicalIssues,4,G
P048,5,1600,3,No,Understanding,5,G
P048,5,1600,3,No,SummaryOpinion,4,G
P048,5,1600,3,No,PreferFullGames,5,G
P048,5,1600,3,No,LimitedTime,3,G
P048,5,1600,3,No,InterestBattles,2,G
P048,5,1600,3,No,InterestStrategy,4,G
P048,5,1600,3,No,InterestSkill,5,G
P048,5,1600,3,No,TechnicalIssues,2,G
P049,4,1100,3,No,Understanding,5,G
P049,4,1100,3,No,SummaryOpinion,4,G
P049,4,1100,3,No,PreferFullGames,5,G
P049,4,1100,3,No,LimitedTime,4,G
P049,4,1100,3,No,InterestBattles,3,G
P049,4,1100,3,No,InterestStrategy,5,G
P049,4,1100,3,No,InterestSkill,4,G
P049,4,1100,3,No,TechnicalIssues,1,G
P050,5,1600,2,Yes,Understanding,4,G
P050,5,1600,2,Yes,SummaryOpinion,3,G
P050,5,1600,2,Yes,PreferFullGames,5,G
P050,5,1600,2,Yes,LimitedTime,5,G
P050,5,1600,2,Yes,InterestBattles,4,G
P050,5,1600,2,Yes,InterestStrategy,4,G
P050,5,1600,2,Yes,InterestSkill,4,G
P050,5,1600,2,Yes,TechnicalIssues,2,G
P051,5,1350,3,No,Understanding,5,G
P051,5,1350,3,No,SummaryOpinion,3,G
P051,5,1350,3,No,PreferFullGames,5,G
P051,5,1350,3,No,LimitedTime,4,G
P051,5,1350,3,No,InterestBattles,4,G
P051,5,1350,3,No,InterestStrategy,4,G
P051,5,1350,3,No,InterestSkill,4,G
P051,5,1350,3,No,TechnicalIssues,5,G
P052,5,1350,2,No,Understanding,3,G
P052,5,1350,2,No,SummaryOpinion,2,G
P052,5,1350,2,No,PreferFullGames,5,G
P052,5,1350,2,No,LimitedTime,5,G
P052,5,1350,2,No,InterestBattles,2,G
P052,5,1350,2,No,InterestStrategy,5,G
P052,5,1350,2,No,InterestSkill,5,G
P052,5,1350,2,No,TechnicalIssues,4,G
P053,4,1100,2,Unsure,Understanding,5,G
P053,4,1100,2,Unsure,SummaryOpinion,4,G
P053,4,1100,2,Unsure,PreferFullGames,4,G
P053,4,1100,2,Unsure,LimitedTime,2,G
P053,4,1100,2,Unsure,InterestBattles,4,G
P053,4,1100,2,Unsure,InterestStrategy,5,G
P053,4,1100,2,Unsure,InterestSkill,4,G
P053,4,1100,2,Unsure,TechnicalIssues,3,G
P054,4,1100,2,Yes,Understanding,3,G
P054,4,1100,2,Yes,SummaryOpinion,2,G
P054,4,1100,2,Yes,PreferFullGames,4,G
P054,4,1100,2,Yes,LimitedTime,5,G
P054,4,1100,2,Yes,InterestBattles,2,G
P054,4,1100,2,Yes,InterestStrategy,5,G
P054,4,1100,2,Yes,InterestSkill,4,G
P054,4,1100,2,Yes,TechnicalIssues,5,G
P055,3,900,2,Yes,Understanding,5,G
P055,3,900,2,Yes,SummaryOpinion,4,G
P055,3,900,2,Yes,PreferFullGames,2,G
P055,3,900,2,Yes,LimitedTime,5,G
P055,3,900,2,Yes,InterestBattles,5,G
P055,3,900,2,Yes,InterestStrategy,5,G
P055,3,900,2,Yes,InterestSkill,4,G
P055,3,900,2,Yes,TechnicalIssues,3,G
P056,4,1100,3,Yes,Understanding,4,G
P056,4,1100,3,Yes,SummaryOpinion,4,G
P056,4,1100,3,Yes,PreferFullGames,4,G
P056,4,1100,3,Yes,LimitedTime,1,G
P056,4,1100,3,Yes,InterestBattles,3,G
P056,4,1100,3,Yes,InterestStrategy,5,G
P056,4,1100,3,Yes,InterestSkill,4,G
P056,4,1100,3,Yes,TechnicalIssues,1,G
P057,4,1350,2,Yes,Understanding,2,G
P057,4,1350,2,Yes,SummaryOpinion,3,G
P057,4,1350,2,Yes,PreferFullGames,5,G
P057,4,1350,2,Yes,LimitedTime,4,G
P057,4,1350,2,Yes,InterestBattles,2,G
P057,4,1350,2,Yes,InterestStrategy,5,G
P057,4,1350,2,Yes,InterestSkill,4,G
P057,4,1350,2,Yes,TechnicalIssues,2,G
