ID,Start time,Completion time,Email,Name,How competent do you think you are in understanding Age of Empires 2: Definitive Edition competitive 1v1 Random Map games?,What is you current ELO on the 1v1 ladder for AoE2: Definitive Edition?,How often do you watch competitive Age of Empires 2 videos or live streams?,"You are allowed to watch the video again as you answer the questions. But please watch it once in full before answering any further questions.

NOTE: The focus of this experiment is on the events ...",Do you see this game before? This can be on any channel or in spectator mode.,Introduction of map layout - including resource locations and possible wall locations,Introduction of players and related trivia,Introduction of civilizations and their strengths,Early economy decisions (e.g. pushing deer),Scouting information,"Aggressive maneuvers: Not leading to kills, but delaying a player",Aggressive maneuvers: Leading to kills or losses on military units,Aggressive maneuvers: Leading to kills on villagers and other economy units,Technology Status: Age-up timings,"Technology Status: Improving unit strength leading up to a fight, e.g. ""+4 knights""",Uncommon events like: Daut Castles and Siege Tower hops,"Breaking through the wall, over-chops and possible defenses.",Overwhelming the opponent's base with a large army,Predictions (e.g. Villese will resign when Imperial Age is reached),Specific information relevant to the current situation (e.g. You don't want to lose your berries as Franks),Watching the video summary gave me a good idea how the game played out.,"In general, I think game summaries can help me consume competitive AoE2 content more effectively.","Generally, I prefer watching full games, even if that means that some of the spoken content is not relevant to the game.",I only watch a few competitive games from a tournament because I don't have time to watch all the games I would want to watch.,When watching games I'm generally interested in the large battles.,When watching games I'm generally interested in the strategic choices made by each player.,When watching games I am generally interested in watching the skill level of the players.,It was hard to ignore video cutting issues and casting style as they negatively impacted my watching experience.,"Did you feel there was anything missing to follow ""the story"" of this match? If so, please indicate what you were missing below."
1,3/5/21 14:37:27,3/5/21 14:46:43,anonymous,,4,1201-1500,Daily,"Okay, I'm ready.",No,Required,Relevant,Relevant,Slightly Relevant,Slightly Relevant,Very Relevant	,Very Relevant	,Required,Required,Required,Very Relevant	,Very Relevant	,Slightly Relevant,Relevant,Relevant,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,"The time between the cuts is hard to grasp. I understand that there's not many interesting things happening during that time, but i want to know what those are. "
2,3/5/21 14:30:45,3/5/21 14:47:33,anonymous,,5,1201-1500,Daily,"Okay, I'm ready.",Yes,Required,Relevant,Required,Very Relevant	,Very Relevant	,Relevant,Very Relevant	,Very Relevant	,Very Relevant	,Relevant,Slightly Relevant,Relevant,Very Relevant	,Very Relevant	,Very Relevant	,Agree,Agree,Agree,Strongly Disagree,Neutral,Strongly Agree,Neutral,Strongly Disagree,No
3,3/5/21 14:47:34,3/5/21 14:56:06,anonymous,,4,801-1000,Weekly,"Okay, I'm ready.",Unsure,Required,Very Relevant	,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Required,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,When Daut took the relics
4,3/5/21 14:33:57,3/5/21 14:57:21,anonymous,,4,1501-1700,Daily,"Okay, I'm ready.",No,Very Relevant	,Slightly Relevant,Required,Relevant,Very Relevant	,Relevant,Very Relevant	,Very Relevant	,Required,Very Relevant	,Relevant,Very Relevant	,Required,Slightly Relevant,Relevant,Strongly Agree,Neutral,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Agree,
5,3/5/21 14:42:44,3/5/21 14:59:48,anonymous,,3,1201-1500,Daily,"Okay, I'm ready.",No,Relevant,Relevant,Very Relevant	,Required,Required,Very Relevant	,Required,Required,Required,Very Relevant	,Very Relevant	,Required,Required,Very Relevant	,Very Relevant	,Strongly Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Disagree,
6,3/5/21 14:54:30,3/5/21 15:06:49,anonymous,,4,1201-1500,Daily,"Okay, I'm ready.",Unsure,Very Relevant	,Not Relevant,Required,Very Relevant	,Very Relevant	,Very Relevant	,Very Relevant	,Very Relevant	,Relevant,Very Relevant	,Slightly Relevant,Very Relevant	,Very Relevant	,Slightly Relevant,Very Relevant	,Agree,Neutral,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,
7,3/5/21 15:13:50,3/5/21 15:24:46,anonymous,,4,1501-1700,Daily,"Okay, I'm ready.",No,Very Relevant	,Relevant,Relevant,Very Relevant	,Required,Relevant,Very Relevant	,Very Relevant	,Required,Very Relevant	,Very Relevant	,Very Relevant	,Required,Slightly Relevant,Relevant,Strongly Agree,Neutral,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,
8,3/5/21 15:14:02,3/5/21 15:27:44,anonymous,,4,1001-1200,Weekly,"Okay, I'm ready.",No,Very Relevant	,Slightly Relevant,Required,Very Relevant	,Required,Very Relevant	,Very Relevant	,Very Relevant	,Very Relevant	,Very Relevant	,Required,Required,Required,Slightly Relevant,Very Relevant	,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Neutral,"The amount of investment that's being done/sacrificed in economy vs military, e.g. when/if the second, third, fourth Town Centers are being placed."
9,3/5/21 15:23:24,3/5/21 15:34:30,anonymous,,3,1001-1200,Daily,"Okay, I'm ready.",Unsure,Slightly Relevant,Slightly Relevant,Very Relevant	,Very Relevant	,Required,Relevant,Very Relevant	,Required,Very Relevant	,Required,Slightly Relevant,Very Relevant	,Slightly Relevant,Not Relevant,Slightly Relevant,Does Not Apply,Strongly Disagree,Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,
10,3/5/21 15:25:38,3/5/21 15:35:54,anonymous,,4,801-1000,Weekly,"Okay, I'm ready.",No,Very Relevant	,Slightly Relevant,Required,Relevant,Very Relevant	,Very Relevant	,Very Relevant	,Very Relevant	,Relevant,Very Relevant	,Very Relevant	,Very Relevant	,Very Relevant	,Not Relevant,Very Relevant	,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,
