dataset,item_code,null_anchor,emm_se,df,ci,t,p_display,p_bh_within_dataset
C,BattleBreakIn,3,3.84 (0.13),455.8538063983105,3.58 -- 4.10,6.409915043775823,< .001,1.3651317459792402e-9
C,BattleBreakIn,3.5,3.84 (0.13),455.8538063983105,3.58 -- 4.10,2.6040279865339175,0.014,0.01381102226591759
C,BattleBreakIn,4,3.84 (0.13),455.8538063983105,3.58 -- 4.10,-1.2018590707079873,0.304,0.30446751026054203
C,BattleDelay,3,3.60 (0.13),455.8538063858933,3.34 -- 3.85,4.540356489341193,< .001,1.704433255218344e-5
C,BattleDelay,3.5,3.60 (0.13),455.8538063858933,3.34 -- 3.85,0.7344694320992885,0.521,0.5209203523131101
C,BattleDelay,4,3.60 (0.13),455.8538063858933,3.34 -- 3.85,-3.0714176251426166,0.004,0.00376315142841802
C,BattleEcoKills,3,4.35 (0.13),455.8538063985722,4.09 -- 4.61,10.282572049390383,< .001,4.317025005952264e-21
C,BattleEcoKills,3.5,4.35 (0.13),455.8538063985722,4.09 -- 4.61,6.4766849921484795,< .001,9.949167055725351e-10
C,BattleEcoKills,4,4.35 (0.13),455.8538063985722,4.09 -- 4.61,2.6707979349065747,0.012,0.01175661738122884
C,BattleMilitary,3,4.04 (0.13),455.85380637301887,3.78 -- 4.29,7.878853907974451,< .001,1.5733452339129613e-13
C,BattleMilitary,3.5,4.04 (0.13),455.85380637301887,3.78 -- 4.29,4.072966850732546,< .001,1.1729515199157904e-4
C,BattleMilitary,4,4.04 (0.13),455.85380637301887,3.78 -- 4.29,0.26707979349064054,0.826,0.8262507637873062
C,BattleOverwhelm,3,3.98 (0.13),455.85380638556705,3.72 -- 4.24,7.478234217738456,< .001,1.9495032678704943e-12
C,BattleOverwhelm,3.5,3.98 (0.13),455.85380638556705,3.72 -- 4.24,3.672347160496551,< .001,4.838962601260031e-4
C,BattleOverwhelm,4,3.98 (0.13),455.85380638556705,3.72 -- 4.24,-0.13353989674535408,0.914,0.914139557830192
C,EventScouting,3,3.95 (0.13),455.8538063877341,3.69 -- 4.21,7.211154424247798,< .001,1.0459357976524477e-11
C,EventScouting,3.5,3.95 (0.13),455.8538063877341,3.69 -- 4.21,3.4052673670058935,0.001,0.00124521997847677
